"","SampleID","FacilityID","Facility.Type","UtmX83","UtmY83","Latitude83","Longitude83","QuarterQuarter","Section","Township","Range","Meridian","County","PermitNumber","ReceiptNumber","WellDepth","Sample.Date","Matrix","Sample.Reason","ResultID","MethodCode","ParamDescription","ResultValue","Qualifier","Units","FractionType","DetectionLimit"
"50",467814,703081,"Domestic Well",273640,4383688,39.57,-107.63,"SWNW",32,"5 S","91 W","6","GARFIELD                           ",NA,"",160,1997-06-03,"WATER","",71653180,"UnSpecified-Older data may not contain method info","TOTAL XYLENES",1,"","ug/L","",0.2
"51",467825,703085,"Domestic Well",281184,4388028,39.61,-107.54,"NESE",13,"5 S","91 W","6","GARFIELD                           ",NA,"",165,1999-09-14,"WATER","",71505986,"UnSpecified-Older data may not contain method info","TOTAL XYLENES",0.28,"J","ug/L","",0.2
"52",467930,703146,"Domestic Well",271235,4370628,39.45,-107.65,"swsw",10,"7 S","92 W","6","GARFIELD                           ",NA,"",NA,2003-01-17,"WATER","",71628508,"UnSpecified-Older data may not contain method info","TOLUENE",0.4,"","ug/L","",0.2
"53",467931,703146,"Domestic Well",271235,4370628,39.45,-107.65,"swsw",10,"7 S","92 W","6","GARFIELD                           ",NA,"",NA,2003-01-17,"WATER","",71651204,"UnSpecified-Older data may not contain method info","TOLUENE",0.4,"","ug/L","",0.2
"54",468040,703207,"Municipal",507922,4428007,40,-104.9,"SESE",32,"1 N","67 W","6","WELD                               ",NA,"",846,2001-06-14,"WATER","",71578636,"UnSpecified-Older data may not contain method info","TOLUENE",2.1,"","ug/L","",2
"55",468155,703252,"Domestic Well",271995,4371763,39.46,-107.65,"NWNE",10,"7 S","92 W","6","GARFIELD                           ",197856,"",320,2003-01-23,"WATER","",71674108,"UnSpecified-Older data may not contain method info","TOLUENE",0.4,"","ug/L","",0.2
"56",468207,703254,"Domestic Well",272187,4372330,39.47,-107.64,"SWSE",3,"7 S","92 W","6","GARFIELD                           ",76116,"",95,2006-02-09,"WATER","",71684955,"UnSpecified-Older data may not contain method info","o-XYLENE",1.4,"","ug/L","",1
"57",468972,706261,"Ground Water",258450,4110300,37.1,-107.71,"NWNE",16,"33 N","8 w","N","LA PLATA                           ",205300,"0422669",396,2008-03-26,"WATER","",71767925,"UnSpecified-Older data may not contain method info","TOLUENE",52,"","ug/L","",2
"58",468972,706261,"Ground Water",258450,4110300,37.1,-107.71,"NWNE",16,"33 N","8 w","N","LA PLATA                           ",205300,"0422669",396,2008-03-26,"WATER","",71697950,"UnSpecified-Older data may not contain method info","BENZENE",10,"","ug/L","",1
"59",468972,706261,"Ground Water",258450,4110300,37.1,-107.71,"NWNE",16,"33 N","8 w","N","LA PLATA                           ",205300,"0422669",396,2008-03-26,"WATER","",71767929,"UnSpecified-Older data may not contain method info","TOTAL XYLENES",210,"","ug/L","",4
"60",468972,706261,"Ground Water",258450,4110300,37.1,-107.71,"NWNE",16,"33 N","8 w","N","LA PLATA                           ",205300,"0422669",396,2008-03-26,"WATER","",71697963,"UnSpecified-Older data may not contain method info","ETHYLBENZENE",49,"","ug/L","",2
"61",468973,706261,"Ground Water",258450,4110300,37.1,-107.71,"NWNE",16,"33 N","8 w","N","LA PLATA                           ",205300,"0422669",396,2008-03-26,"WATER","",71767963,"UnSpecified-Older data may not contain method info","ETHYLBENZENE",35,"","ug/L","",0.5
"62",468973,706261,"Ground Water",258450,4110300,37.1,-107.71,"NWNE",16,"33 N","8 w","N","LA PLATA                           ",205300,"0422669",396,2008-03-26,"WATER","",71390012,"UnSpecified-Older data may not contain method info","TOLUENE",38,"","ug/L","",0.5
"63",468973,706261,"Ground Water",258450,4110300,37.1,-107.71,"NWNE",16,"33 N","8 w","N","LA PLATA                           ",205300,"0422669",396,2008-03-26,"WATER","",71390018,"UnSpecified-Older data may not contain method info","o-XYLENE",47,"","ug/L","",0.5
"64",468973,706261,"Ground Water",258450,4110300,37.1,-107.71,"NWNE",16,"33 N","8 w","N","LA PLATA                           ",205300,"0422669",396,2008-03-26,"WATER","",71390017,"UnSpecified-Older data may not contain method info","m-+p-XYLENE",130,"","ug/L","",25
"65",468973,706261,"Ground Water",258450,4110300,37.1,-107.71,"NWNE",16,"33 N","8 w","N","LA PLATA                           ",205300,"0422669",396,2008-03-26,"WATER","",71767948,"UnSpecified-Older data may not contain method info","BENZENE",7.9,"","ug/L","",0.5
"66",469141,706310,"Domestic Well",271199,4111259,37.11,-107.57,"SWNE",11,"33 N","7 W","N","LA PLATA                           ",238997,"",120,2006-02-01,"WATER","",71389499,"UnSpecified-Older data may not contain method info","TOLUENE",1.7,"","ug/L","",0.5
