"","facility_id","facility_type","permit_number","receipt_number","well_depth","matrix","sample_id","sample_date","benzene_ugl","toluene_ugl","ethylbenzene_ugl","mp_xylenes_ugl","o_xylene_ugl","tot_xylenes_ugl","methane_mgl","wattenberg"
"528",752598,"Ground Water","78752","911251",NA,"WATER",533385,2013-01-31,NA,NA,NA,NA,NA,NA,0.09,TRUE
"529",752598,"Ground Water","78752","911251",NA,"WATER",537371,2014-01-13,NA,NA,NA,NA,NA,NA,0.005,TRUE
"530",752599,"Ground Water","59561","379587",NA,"WATER",478434,2008-08-05,NA,NA,NA,NA,NA,NA,0.01,TRUE
"531",752599,"Ground Water","59561","379587",NA,"WATER",533383,2013-01-31,NA,NA,NA,NA,NA,NA,0.01,TRUE
"532",752599,"Ground Water","59561","379587",NA,"WATER",537369,2014-01-22,NA,NA,NA,NA,NA,NA,0.05,TRUE
"533",752600,"Ground Water",NA,NA,NA,"WATER",533381,2013-01-31,NA,NA,NA,NA,NA,NA,0.11,TRUE
"534",752600,"Ground Water",NA,NA,NA,"WATER",537381,2014-03-14,NA,NA,NA,NA,NA,NA,0.12,TRUE
"535",752601,"Ground Water","81523","9013124",50,"WATER",533379,2013-01-31,NA,NA,NA,NA,NA,NA,4e-04,TRUE
"536",752601,"Ground Water","81523","9013124",50,"WATER",537376,2014-03-14,NA,NA,NA,NA,NA,NA,4e-04,TRUE
"537",752601,"Ground Water","81523","9013124",50,"WATER",537379,2014-03-14,NA,NA,NA,NA,NA,NA,4e-04,TRUE
"538",752602,"Ground Water","600","C620600",79,"WATER",533373,2013-01-24,NA,NA,NA,NA,NA,NA,4e-04,TRUE
"539",752602,"Ground Water","600","C620600",79,"WATER",533376,2013-01-24,NA,NA,NA,NA,NA,NA,4e-04,TRUE
"540",752602,"Ground Water","600","C620600",79,"WATER",535772,2013-10-01,NA,NA,NA,NA,NA,NA,0.00075,TRUE
"541",752603,"Ground Water","269477","3603789B",15,"WATER",533371,2013-01-24,NA,NA,NA,NA,NA,NA,0.00192,TRUE
"542",752603,"Ground Water","269477","3603789B",15,"WATER",537407,2014-04-25,NA,NA,NA,NA,NA,NA,0.0018,TRUE
"543",752604,"Ground Water","158348","0315515B",43,"WATER",533345,2013-02-25,NA,NA,NA,NA,NA,NA,4e-04,TRUE
"544",752604,"Ground Water","158348","0315515B",43,"WATER",538632,2014-05-28,NA,NA,NA,NA,NA,NA,4e-04,TRUE
"545",752608,"Ground Water","152903","0292994A",65,"WATER",542452,2015-02-09,NA,NA,NA,NA,NA,NA,16,TRUE
"546",752637,"Ground Water","86929","542300",NA,"WATER",533485,2013-05-06,NA,NA,NA,NA,NA,NA,4e-04,TRUE
"547",752637,"Ground Water","86929","542300",NA,"WATER",540282,2014-09-10,NA,NA,NA,NA,NA,NA,4e-04,TRUE
"548",752638,"Ground Water","65312","9065051",250,"WATER",533483,2013-05-06,NA,NA,NA,NA,NA,NA,0.00313,TRUE
"549",752638,"Ground Water","65312","9065051",250,"WATER",540284,2014-09-10,NA,NA,NA,NA,NA,NA,0.00068,TRUE
