"","SampleID","FacilityID","Facility.Type","UtmX83","UtmY83","Latitude83","Longitude83","QuarterQuarter","Section","Township","Range","Meridian","County","PermitNumber","ReceiptNumber","WellDepth","Sample.Date","Matrix","Sample.Reason","ResultID","MethodCode","ParamDescription","ResultValue","Qualifier","Units","FractionType","DetectionLimit"
"60",458778,700285,"Ground Water",272732,4127297,37.26,-107.56,"NENE",31,"35 N","6 W","N","LA PLATA                           ",NA,"",80,"6/6/2002 0:00:00","GAS","",71356274,"UnSpecified-Older data may not contain method info","DELTA 13C C1",-44.29,"","per mil VPDB","",NA
"61",458785,700285,"Ground Water",272732,4127297,37.26,-107.56,"NENE",31,"35 N","6 W","N","LA PLATA                           ",NA,"",80,"7/20/2005 0:00:00","GAS","",71738852,"UnSpecified-Older data may not contain method info","DELTA 13C C1",-42.24,"","per mil VPDB","",NA
"62",458787,700285,"Ground Water",272732,4127297,37.26,-107.56,"NENE",31,"35 N","6 W","N","LA PLATA                           ",NA,"",80,"9/22/2006 0:00:00","GAS","",71738844,"UnSpecified-Older data may not contain method info","DELTA 13C C1",-43.14,"","per mil VPDB","",NA
"63",458790,700285,"Ground Water",272732,4127297,37.26,-107.56,"NENE",31,"35 N","6 W","N","LA PLATA                           ",NA,"",80,"7/30/2009 0:00:00","GAS","",71628031,"UnSpecified-Older data may not contain method info","DELTA 13C C1",-30.52,"","per mil VPDB","",NA
"64",458792,700285,"Ground Water",272732,4127297,37.26,-107.56,"NENE",31,"35 N","6 W","N","LA PLATA                           ",NA,"",80,"11/2/2009 0:00:00","GAS","",71628024,"UnSpecified-Older data may not contain method info","DELTA 13C C1",-40.79,"","per mil VPDB","",NA
"65",458795,700287,"Ground Water",246033,4121545,37.2,-107.86,"SENE",7,"34 N","9 W","N","LA PLATA                           ",NA,"",290,"8/27/1990 0:00:00","GAS","",71887567,"UnSpecified-Older data may not contain method info","DELTA 13C C1",-59.66,"","per mil VPDB","",NA
"66",458797,700287,"Ground Water",246033,4121545,37.2,-107.86,"SENE",7,"34 N","9 W","N","LA PLATA                           ",NA,"",290,"11/3/1994 0:00:00","GAS","",71887560,"UnSpecified-Older data may not contain method info","DELTA 13C C1",-61.06,"","per mil VPDB","",NA
"67",458799,700288,"Ground Water",272183,4126749,37.25,-107.56,"SWNE",31,"35 N","6 W","N","LA PLATA                           ",NA,"",220,"11/4/1994 0:00:00","GAS","",71887604,"UnSpecified-Older data may not contain method info","DELTA 13C C1",-47.9,"","per mil VPDB","",NA
"68",458801,700288,"Ground Water",272183,4126749,37.25,-107.56,"SWNE",31,"35 N","6 W","N","LA PLATA                           ",NA,"",220,"9/3/1996 0:00:00","GAS","",71363545,"UnSpecified-Older data may not contain method info","DELTA 13C C1",-38.62,"","per mil VPDB","",NA
"69",458811,700289,"Ground Water",279270,4131865,37.3,-107.49,"NENE",14,"35 N","6 W","N","LA PLATA                           ",NA,"",295,"11/7/1994 0:00:00","GAS","",71887531,"UnSpecified-Older data may not contain method info","DELTA 13C C1",-66.75,"","per mil VPDB","",NA
