"","facility_id","facility_type","utm_x83","utm_y83","permit_number","receipt_number","well_depth","matrix","sample_id","sample_date","methane","ethane","propane","methane_units","delta_13c_c1","d13c_units","fraction","origin","wattenberg"
"713",756998,"Stock or  Irrigation",538575,4444287,"229984","0467841",710,"GAS",560069,2017-09-07,36.35,0.01,0.005,"MOL %",-73.7,"per mil",2423.33333333333,"Microbial",""
"714",755459,"Domestic Well",512864,4434293,"30278","9063495",566,"GAS",557423,2017-03-27,81.69,0.06,1e-04,"MOL %",-71.56,"per mil",1359.23460898502,"Microbial",""
"715",755458,"Commercial",533061,4450933,"297136","3677422",NA,"GAS",557433,2017-03-27,66.68,0.07,0.001,"MOL %",-71.48,"per mil",939.154929577465,"Microbial",""
"716",757164,"Domestic Well",521620,4430924,"192455","0392845",1105,"GAS",563784,2017-11-21,49.7,0.05,2e-04,"MOL %",-73.76,"per mil",990.03984063745,"Microbial",""
"717",706269,"Domestic Well",260971,4112843,"210380",NA,NA,"GAS",559233,2017-06-22,8.6,0.0021,1e-04,"MOL %",-61.43,"per mil",3909.09090909091,"Microbial",""
"718",754922,"Domestic Well",518298,4431074,"149962",NA,952,"GAS",550572,2016-07-08,47.6,0.07,0.005,"MOL %",-73.7,"per mil",634.666666666667,"Microbial",""
"719",703209,"Domestic Well",512762,4434927,"173897",NA,652,"GAS",556528,2017-03-23,44.67,0.05,1e-04,"MOL %",-72.94,"per mil",891.616766467066,"Microbial",""
"720",755044,"Stock or  Irrigation",609433,4472869,"276199","3623299B",680,"GAS",551231,2016-09-07,18.22,0.07,0.01,"MOL %",-71.4,"per mil",227.75,"Microbial",""
"721",755040,"Stock or  Irrigation",595507,4488260,"300403","3673396",NA,"GAS",551235,2016-09-07,70.98,0.04,0.01,"MOL %",-69.5,"per mil",1419.6,"Microbial",""
"722",755042,"Stock or  Irrigation",585457,4476738,"236228","3630645",760,"GAS",551239,2016-09-07,67.07,0.06,0.01,"MOL %",-73.4,"per mil",958.142857142857,"Microbial",""
"723",757336,"Domestic Well",521499,4431784,"78656","9065527",470,"GAS",565225,2018-01-22,68.21,0.05,2e-04,"MOL %",-71.07,"per mil",1358.76494023904,"Microbial",""
"724",755803,"Domestic Well",513053,4436532,"75711","3652330",680,"GAS",560405,2017-08-29,50.61,0.05,5e-04,"MOL %",-73.16,"per mil",1002.17821782178,"Microbial",""
"725",755071,"Domestic Well",511146,4433630,"206397","0420355",800,"GAS",554527,2016-09-26,40.8,0.0016,1e-04,"MOL %",-65.94,"per mil",24000,"Microbial",""
"726",755072,"Domestic Well",512227,4436302,"230133","0468242",700,"GAS",554545,2016-09-27,44.67,0.04,1e-04,"MOL %",-72.12,"per mil",1113.9650872818,"Microbial",""
"727",755694,"Domestic Well",517817,4434077,"100622","0094545",824,"GAS",601135,2018-07-05,53.72,0.09,0.0014,"MOL %",-71.87,"per mil",587.746170678337,"Microbial",""
"728",757054,"Domestic Well",527368,4432226,"271895","3608933",325,"GAS",601122,2018-09-19,43.45,0.06,0.0027,"MOL %",-80.99,"per mil",692.982456140351,"Microbial",""
"729",756984,"Domestic Well",526738,4431446,"189857","0388051B",1000,"GAS",601126,2018-09-18,73.48,0.04,1e-04,"MOL %",-71.4,"per mil",1832.41895261845,"Microbial",""
"730",755760,"Domestic Well",519134,4434415,"249278","0506484",901,"GAS",560449,2017-08-02,53.42,0.09,3e-04,"MOL %",-71.73,"per mil",591.583610188261,"Microbial",""
"731",755790,"Domestic Well",509438,4433023,"258176","0523988",700,"GAS",560473,2017-08-23,65,0.07,1e-04,"MOL %",-71.8,"per mil",927.246790299572,"Microbial",""
"732",755792,"Domestic Well",509276,4432897,"287248","3653012",750,"GAS",560491,2017-08-21,45.27,0.06,6e-04,"MOL %",-72.24,"per mil",747.029702970297,"Microbial",""
"733",755793,"Domestic Well",509159,4432741,"234016","0476018",720,"GAS",560499,2017-08-21,43.79,0.05,7e-04,"MOL %",-72.4,"per mil",863.70808678501,"Microbial",""
"734",755794,"Domestic Well",509691,4432170,"42431","0350712",680,"GAS",560507,2017-08-22,46.67,0.06,7e-04,"MOL %",-72.38,"per mil",768.863261943987,"Microbial",""
"735",755795,"Domestic Well",509748,4430644,"139147","0252985",735,"GAS",560513,2017-08-22,48.67,0.04,1e-04,"MOL %",-73.24,"per mil",1213.71571072319,"Microbial",""
"736",755796,"Domestic Well",508959,4432046,"68577","9065144",NA,"GAS",560521,2017-08-24,42.19,0.05,1e-04,"MOL %",-72.47,"per mil",842.115768463074,"Microbial",""
"737",755190,"Domestic Well",511249,4432591,"109826","0394369",715,"GAS",555785,2017-01-10,58.27,0.05,5e-04,"MOL %",-71.95,"per mil",1153.86138613861,"Microbial",""
"738",755416,"Domestic Well",533668,4443092,"177800","0366277",780,"GAS",555843,2017-02-28,70.87,0.06,7e-04,"MOL %",-72.72,"per mil",1167.54530477759,"Microbial",""
"739",755323,"Domestic Well",511541,4433557,"174778","0358520",673,"GAS",555917,2017-02-09,44.33,0.04,1e-04,"MOL %",-73.31,"per mil",1105.48628428928,"Microbial",""
"740",755393,"Domestic Well",512103,4450415,"189227","0388153A",260,"GAS",555930,2017-02-15,21.9,0.04,1e-04,"MOL %",-75.52,"per mil",546.134663341646,"Microbial",""
"741",755466,"Domestic Well",512848,4436744,"130770","0437599",755,"GAS",557705,2017-04-03,47.71,0.05,1e-04,"MOL %",-74.4,"per mil",952.295409181637,"Microbial",""
"742",755465,"Domestic Well",513138,4450695,"166830","0344604",230,"GAS",557711,2017-04-03,26.43,0.02,1e-04,"MOL %",-70.57,"per mil",1314.92537313433,"Microbial",""
"743",755483,"Domestic Well",513421,4449234,"187664","3656471",275,"GAS",557723,2017-04-18,19.04,0.01,1e-04,"MOL %",-69.16,"per mil",1885.14851485149,"Microbial",""
"744",704612,"Domestic Well",514505,4447816,"262907","0537649",360,"GAS",557737,2017-04-18,50.65,0.07,1e-04,"MOL %",-71.21,"per mil",722.539229671897,"Microbial",""
"745",755034,"Groundwater",637651,4504903,"2646","9042895",705,"GAS",557842,2016-10-06,8.58,0,0.01,"MOL %",-71.1,"per mil",858,"Microbial",""
