"","SampleID","FacilityID","Facility.Type","UtmX83","UtmY83","Latitude83","Longitude83","QuarterQuarter","Section","Township","Range","Meridian","County","PermitNumber","ReceiptNumber","WellDepth","Sample.Date","Matrix","Sample.Reason","ResultID","MethodCode","ParamDescription","ResultValue","Qualifier","Units","FractionType","DetectionLimit"
"143",474856,704329,"Domestic Well",271223,4366161,39.41,-107.65,"",NA,"7 S","92 W","6","GARFIELD                           ",NA,"",NA,"1/14/2003 0:00:00","WATER","",71340652,"UnSpecified-Older data may not contain method info","m-+p-XYLENE",0.5,"","ug/L","",0.4
"144",474857,704330,"Domestic Well",272804,4365746,39.41,-107.63,"SWSW",26,"7 S","92 W","6","GARFIELD                           ",224725,"",NA,"1/15/2003 0:00:00","WATER","",71340683,"UnSpecified-Older data may not contain method info","TOLUENE",0.4,"","ug/L","",0.2
"145",474857,704330,"Domestic Well",272804,4365746,39.41,-107.63,"SWSW",26,"7 S","92 W","6","GARFIELD                           ",224725,"",NA,"1/15/2003 0:00:00","WATER","",71340686,"UnSpecified-Older data may not contain method info","o-XYLENE",0.6,"","ug/L","",0.2
"146",474858,704330,"Domestic Well",272804,4365746,39.41,-107.63,"SWSW",26,"7 S","92 W","6","GARFIELD                           ",224725,"",NA,"1/15/2003 0:00:00","WATER","",71340722,"UnSpecified-Older data may not contain method info","TOLUENE",0.4,"","ug/L","",0.2
"147",474858,704330,"Domestic Well",272804,4365746,39.41,-107.63,"SWSW",26,"7 S","92 W","6","GARFIELD                           ",224725,"",NA,"1/15/2003 0:00:00","WATER","",71340725,"UnSpecified-Older data may not contain method info","o-XYLENE",0.6,"","ug/L","",0.2
"148",474862,704332,"Domestic Well",270301,4367082,39.42,-107.66,"NWNE",28,"7 S","92 W","6","GARFIELD                           ",153525,"",6,"1/28/2003 0:00:00","WATER","",71340818,"UnSpecified-Older data may not contain method info","TOLUENE",0.5,"","ug/L","",0.2
"149",474866,704333,"Domestic Well",270761,4366226,39.41,-107.66,"NESE",28,"7 S","92 W","6","GARFIELD                           ",159196,"",140,"1/28/2003 0:00:00","WATER","",71340924,"UnSpecified-Older data may not contain method info","o-XYLENE",0.3,"","ug/L","",0.2
"150",474866,704333,"Domestic Well",270761,4366226,39.41,-107.66,"NESE",28,"7 S","92 W","6","GARFIELD                           ",159196,"",140,"1/28/2003 0:00:00","WATER","",71340921,"UnSpecified-Older data may not contain method info","TOLUENE",0.3,"","ug/L","",0.2
"151",474867,704333,"Domestic Well",270761,4366226,39.41,-107.66,"NESE",28,"7 S","92 W","6","GARFIELD                           ",159196,"",140,"1/28/2003 0:00:00","WATER","",71340963,"UnSpecified-Older data may not contain method info","o-XYLENE",0.3,"","ug/L","",0.2
"152",474867,704333,"Domestic Well",270761,4366226,39.41,-107.66,"NESE",28,"7 S","92 W","6","GARFIELD                           ",159196,"",140,"1/28/2003 0:00:00","WATER","",71340960,"UnSpecified-Older data may not contain method info","TOLUENE",0.3,"","ug/L","",0.2
"153",474876,704340,"Domestic Well",273263,4362728,39.38,-107.63,"SWSE",2,"8 S","92 W","6","GARFIELD                           ",189956,"",120,"12/19/2002 0:00:00","WATER","",71342809,"UnSpecified-Older data may not contain method info","TOLUENE",0.3,"","ug/L","",0.2
"154",474880,704344,"Domestic Well",273832,4364260,39.39,-107.62,"SESE",35,"7 S","92 W","6","GARFIELD                           ",19497,"",73,"12/19/2002 0:00:00","WATER","",71342934,"UnSpecified-Older data may not contain method info","TOLUENE",0.3,"","ug/L","",0.2
"155",474881,704344,"Domestic Well",273832,4364260,39.39,-107.62,"SESE",35,"7 S","92 W","6","GARFIELD                           ",19497,"",73,"12/19/2002 0:00:00","WATER","",71342973,"UnSpecified-Older data may not contain method info","TOLUENE",0.3,"","ug/L","",0.2
