"","facility_id","facility_type","utm_x83","utm_y83","permit_number","receipt_number","well_depth","wattenberg","btex_sampled","ch4_sampled","btex_detected","ch4_detected","methane","ethane","propane","fraction","delta_13c_c1","origin"
"19","700026","Domestic Well",532509,4445931,"159626",NA,462,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"20","700027","Domestic Well",527577,4465096,"10042",NA,85,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"21","700029","Domestic Well",527801,4456933,"13431",NA,250,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"22","700030","Domestic Well",530407,4459454,"40837",NA,85,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"23","700032","Domestic Well",535138,4462304,"48732",NA,220,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"24","700034","Domestic Well",536754,4461908,"170415",NA,233,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"25","700035","Domestic Well",536692,4459499,"92244",NA,195,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"26","700036","Domestic Well",534400,4456637,"218109",NA,275,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"27","700037","Domestic Well",538348,4455899,"18802",NA,133,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"28","700038","Domestic Well",550299,4485755,"78833",NA,270,TRUE,FALSE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"29","700039","Domestic Well",529944,4450731,"68855",NA,65,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"30","700040","Domestic Well",519406,4449648,"77924","9065472",333,TRUE,TRUE,TRUE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"31","700042","Domestic Well",529371,4425028,"179069",NA,380,TRUE,TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
"32","700883","Ground Water",543508,4465114,"7168",NA,78,TRUE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA
