"","OBJECTID","facility_id","facility_type","permit_number","receipt_number","ch4_sampled","btex_sampled","nearest_og","nearest_scp","nearest_cscp","btex_detected","ch4_detected"
"797",950,"753897","Domestic Well","97047","0384576","yes","yes",481.92323040086,1614.49686904507,3558.21856605419,"btex not detected","ch4 not detected"
"798",951,"753900","Domestic Well","175243","0362177","yes","yes",962.461947299736,1815.47741804894,2868.62072339414,"btex not detected","ch4 detected"
"799",952,"753901","Domestic Well","56104","9064833","yes","yes",332.054212441282,910.988329107659,4144.14595086232,"btex not detected","ch4 not detected"
"800",953,"753902","Domestic Well","136283","0246391B","yes","yes",305.805493737441,829.482705866265,4208.24461776851,"btex not detected","ch4 not detected"
"801",954,"753903","Domestic Well","148951","0277115","yes","yes",249.969998199784,462.408631310009,1032.58625619827,"btex not detected","ch4 detected"
"802",955,"753904","Domestic Well","227719","0464711","yes","yes",382.027485922152,1257.15824944662,2064.12273735807,"btex not detected","ch4 detected"
"803",956,"753906","Domestic Well","97490","0518983","yes","yes",430.488095073488,1591.89311278662,3548.79889585771,"btex not detected","ch4 not detected"
"804",957,"753907","Domestic Well","178352","0480242","yes","yes",97.144222679478,1443.88872989505,3536.07899064324,"btex not detected","ch4 detected"
"805",958,"753909","Domestic Well","183148","0375858","yes","yes",218.874393203042,851.597312535247,1937.29394077751,"btex not detected","ch4 not detected"
"806",959,"753910","Domestic Well","46525","397496","yes","yes",168.442868652846,747.088975379421,755.928358916492,"btex not detected","ch4 detected"
"807",960,"753911","Domestic Well","229695","3644891","yes","yes",932.071349200264,3528.51766199194,6217.04996144815,"btex not detected","ch4 not detected"
"808",961,"753912","Domestic Well","105303","0098794","yes","yes",224.610774452162,672.919767891227,853.87538058559,"btex not detected","ch4 detected"
"809",962,"753913","Commercial","61808","0529759","yes","yes",218.826415224488,638.013761434584,638.013761434584,"btex not detected","ch4 not detected"
"810",963,"753914","Domestic Well","289196","3656437B","yes","yes",187.216452268491,460.846637021502,748.68545254817,"btex not detected","ch4 not detected"
"811",964,"753915","Domestic Well","258678","0527129","yes","yes",360.410876639427,1171.99473183243,3023.62793675182,"btex not detected","ch4 not detected"
"812",965,"753916","Domestic Well","175808","0363635","yes","yes",350.851820573871,1589.07459929087,3279.59102561179,"btex not detected","ch4 detected"
"813",966,"753917","Domestic Well","97049","0439586","yes","yes",239.754040633312,1375.02763500976,3686.97608595612,"btex not detected","ch4 not detected"
"814",967,"753918","Domestic Well","35646","3662567","yes","yes",212.115534556053,513.879409189448,522.374191998908,"btex not detected","ch4 not detected"
"815",968,"753919","Domestic Well","278368","3632170","yes","yes",314.56001017294,5548.15371952774,6480.09397543402,"btex not detected","ch4 detected"
"816",969,"753921","Stock or  Irrigation","13447","9061622","yes","yes",699,817.452128094717,6838.17488797728,"btex not detected","ch4 not detected"
"817",970,"753922","Stock or  Irrigation","13443","9061616","yes","yes",704.330888148461,325.010835183781,7295.63184854755,"btex not detected","ch4 not detected"
"818",971,"753923","Domestic Well","109682","9066230","yes","yes",608.691218927955,3646.15475739195,6340.95605487802,"btex not detected","ch4 not detected"
"819",972,"753926","Domestic Well","178744","0367879","yes","yes",201.444781515928,1020.30907266602,3309.0455339052,"btex not detected","ch4 detected"
"820",973,"753929","Domestic Well","179612","0369703","yes","yes",385.603423221319,1086.66015668995,4585.17655949838,"btex not detected","ch4 detected"
"821",974,"753930","Domestic Well","209401","0425330","yes","yes",229.532132826757,1187.30571034121,1193.49859607482,"btex not detected","ch4 detected"
"822",975,"753931","Domestic Well","137539","0249905B","yes","yes",505.514589304799,1080.73839741312,2418.85862414243,"btex not detected","ch4 detected"
"823",976,"753932","Domestic Well","220184","0447433","yes","yes",137.131323919811,1188.76422664232,1188.76422664232,"btex not detected","ch4 detected"
"824",977,"753933","Domestic Well","61432","9064946","yes","yes",104.120122935002,1134.73449776164,1322.79833416892,"btex not detected","ch4 not detected"
"825",978,"753934","Domestic Well","67878","9065119","yes","yes",310.716912960978,966.789437178074,1255.43871440603,"btex not detected","ch4 detected"
"826",979,"753936","Stock or  Irrigation","238402","0485343A","yes","yes",164.757397406004,5797.1608379818,6956.73051579724,"btex not detected","ch4 not detected"
"827",980,"753938","Stock or  Irrigation","8771","9060065","yes","yes",1397.94027054091,6310.89729817319,13125.4554119629,"btex not detected","ch4 not detected"
"828",981,"753939","Domestic Well","247941","0504079","yes","yes",2797.64043436607,6099.15943940203,15870.0511921088,"btex not detected","ch4 not detected"
"829",982,"753943","Domestic Well","239795","0488980","yes","yes",152.118374958451,608.724700428736,1409.12029713738,"btex not detected","ch4 detected"
"830",983,"753944","Domestic Well","87451","9065830","yes","yes",166.388100536066,1165.99242245914,1427.2731447743,"btex not detected","ch4 detected"
"831",984,"753945","Domestic Well","193335","0396241","yes","yes",142.337626789265,646.344943414833,1376.3001545877,"btex not detected","ch4 not detected"
"832",985,"753946","Domestic Well","150326","0283307","yes","yes",443.838934749983,989.035010788336,3784.56629090195,"btex not detected","ch4 detected"
"833",986,"753949","Domestic Well","194475","0391474","yes","yes",319.530906173409,318.404738037693,2988.86209371566,"btex detected","ch4 detected"
"834",987,"753950","Domestic Well","255263","0519844","yes","yes",398.899736776048,398.457362734217,2677.11069218689,"btex not detected","ch4 detected"
"835",988,"753951","Domestic Well","95917","0213907","yes","yes",314.993650729662,840.007273070617,4197.90044911636,"btex not detected","ch4 detected"
"836",989,"753952","Domestic Well","110391","0110033","yes","yes",371.323309260273,1260.23545013174,4108.54179350712,"btex not detected","ch4 not detected"
"837",990,"753953","Commercial","47217","0404761B","yes","yes",378.113739501754,896.141419233066,2823.67533533763,"btex not detected","ch4 detected"
"838",991,"753954","Commercial","47218","0404761C","yes","yes",185.13238506539,1025.8374302591,3320.43482815471,"btex not detected","ch4 detected"
"839",992,"753956","Domestic Well","63190","9064993","yes","yes",577.602804702332,159.206760236941,1040.39690579526,"btex not detected","ch4 not detected"
"840",993,"753957","Domestic Well","213792","0436379B","yes","yes",199.323857076869,515.509771525725,2731.86757802231,"btex not detected","ch4 detected"
"841",994,"753958","Domestic Well","265326","0540613","yes","yes",235.552541909443,236.626783931337,2247.27048517494,"btex not detected","ch4 detected"
"842",995,"753959","Domestic Well","237035","0483057","yes","yes",379.458825170795,1001.73976868331,3537.87277449467,"btex not detected","ch4 detected"
"843",996,"753960","Domestic Well","226938","0460980","yes","yes",101.118742080783,326.580511822059,1634.51391167166,"btex not detected","ch4 detected"
"844",997,"753961","Domestic Well","285852","3650168","yes","yes",393.864189791354,393.708679991704,393.708679991704,"btex not detected","ch4 not detected"
"845",998,"753962","Commercial","68146","3640809","yes","yes",286.174771774173,954.182074244767,1174.89351668844,"btex not detected","ch4 detected"
"846",999,"753963","Domestic Well","47541","9064556","yes","yes",210.090456708533,1097.11866009271,1252.55170729368,"btex not detected","ch4 detected"
"847",1000,"753964","Domestic Well","179591","0369982","yes","yes",134.350288425444,910.88044342576,1106.39446813407,"btex not detected","ch4 detected"
"848",1001,"753965","Domestic Well","55252","9064800","yes","yes",116.038786618958,558.26934066913,2281.97044349464,"btex not detected","ch4 not detected"
"849",1002,"753966","Domestic Well","191201","0391610","yes","yes",87.3212459828649,86.0187110645846,86.0187110645846,"btex not detected","ch4 detected"
"850",1003,"753967","Commercial","276224","3624109","yes","yes",356.674922022841,1193.51421416691,3250.35001700768,"btex not detected","ch4 detected"
"851",1004,"753968","Domestic Well","158630","0316193","yes","yes",233.36237914454,628.665640862135,2361.03733356269,"btex not detected","ch4 detected"
"852",1005,"753969","Domestic Well","258952","0526712","yes","yes",68.9420046125727,627.298081437947,2337.34120175895,"btex not detected","ch4 not detected"
"853",1006,"753970","Domestic Well","275649","3622298","yes","yes",188.904737897174,467.103805519259,2352.86154015613,"btex not detected","ch4 not detected"
"854",1007,"753971","Domestic Well","289203","3656673","yes","yes",112.294256309038,1086.10445389609,1200.96919860693,"btex not detected","ch4 not detected"
"855",1008,"753972","Domestic Well","277809","3630010B","yes","yes",243.741666524212,524.055616332829,1797.31358862194,"btex not detected","ch4 not detected"
"856",1009,"753973","Domestic Well","213048","0434444B","yes","yes",223.660456943108,254.491799867345,668.853722876842,"btex not detected","ch4 not detected"
"857",1010,"753974","Commercial","74441","3647034","yes","yes",217.745264012791,482.680160558111,1530.70257505045,"btex not detected","ch4 detected"
"858",1011,"753975","Domestic Well","143568","3631660","yes","yes",423.19971644603,719.677034357008,719.677034357008,"btex not detected","ch4 not detected"
"859",1012,"753976","Ground Water","33759","9063701","yes","yes",232.361786875553,1139.56643503162,2845.96531059431,"btex not detected","ch4 detected"
"860",1013,"753979","Domestic Well","176877","0364948","yes","yes",151.647617851386,898.22618464224,1157.30338248336,"btex not detected","ch4 detected"
"861",1014,"753980","Domestic Well","288736","3655921","yes","yes",192.010416384112,190.557336945308,403.135005839196,"btex not detected","ch4 detected"
"862",1015,"753981","Domestic Well","228119","0463752","yes","yes",314.610870759419,690.762711499134,1855.45593529456,"btex not detected","ch4 detected"
"863",1016,"753982","Domestic Well","250519","0510041","yes","yes",218.343765654071,283.155955670933,2448.20166411971,"btex not detected","ch4 not detected"
"864",1017,"753985","Domestic Well","41184","9064225","yes","yes",427.917048036182,1406.86159436873,2472.99383115188,"btex not detected","ch4 detected"
"865",1018,"753987","Domestic Well","41068","0335897","yes","yes",139.283882771841,823.803733428936,823.803733428936,"btex not detected","ch4 detected"
"866",1019,"753988","Domestic Well","79972","0062463","yes","yes",306.413119823548,784.936890971006,1117.9817318579,"btex detected","ch4 detected"
"867",1020,"753989","Domestic Well","254533","0518460A","yes","yes",122.200654662731,825.637614070054,1053.65724759557,"btex not detected","ch4 detected"
"868",1021,"753990","Domestic Well","55256","9064802","yes","yes",241.679539887016,265.742748814253,2513.39226497219,"btex not detected","ch4 not detected"
"869",1022,"753991","Domestic Well","165600","0341230","yes","yes",146.478667388804,735.995157582536,1759.53612472927,"btex not detected","ch4 detected"
"870",1023,"753992","Domestic Well","204927","0418528","yes","yes",205.060966544099,1161.93233823412,1375.36310064205,"btex not detected","ch4 detected"
"871",1024,"753993","Domestic Well","50954","9064688","yes","yes",542.381784354895,1436.85494560324,2021.32372116652,"btex not detected","ch4 not detected"
"872",1025,"753994","Domestic Well","281923","3642599","yes","yes",280.130326812361,1272.75770703243,1611.11832990807,"btex not detected","ch4 detected"
"873",1026,"753995","Domestic Well","78257","3664710","yes","yes",280.930596411284,386.737917922203,3020.16596046696,"btex detected","ch4 detected"
"874",1027,"753996","Domestic Well","207253","0423515","yes","yes",196.010203816026,565.489197100035,2428.86361246433,"btex not detected","ch4 detected"
"875",1028,"753997","Domestic Well","165795","0340941","yes","yes",193.062166153807,994.367073917904,1380.71250680869,"btex not detected","ch4 detected"
"876",1029,"753998","Stock or  Irrigation","10619","0487005","yes","yes",233.668568703623,648.864265631757,783.692808073288,"btex not detected","ch4 not detected"
"877",1030,"753999","Domestic Well","218835","0447521","yes","yes",194.283298304306,1256.8446199195,1256.8446199195,"btex not detected","ch4 detected"
"878",1031,"754000","Domestic Well","142368","0260350","yes","yes",80.156097709407,446.744940361922,1691.35718350513,"btex not detected","ch4 not detected"
"879",1032,"754001","Domestic Well","242415","0493147","yes","yes",454.493124260423,672.086374111108,672.086374111108,"btex not detected","ch4 detected"
"880",1033,"754002","Domestic Well","47625","0475492","yes","yes",187.928177770126,1027.64708580148,2151.86306182047,"btex not detected","ch4 detected"
"881",1034,"754003","Domestic Well","295747","3666306B","yes","yes",349.297867156386,1383.50918650302,4114.19876169372,"btex not detected","ch4 not detected"
"882",1035,"754004","Domestic Well","159508","0322109","yes","yes",430.986078661481,1477.51054431673,5008.13203060983,"btex not detected","ch4 detected"
"883",1036,"754005","Commercial","58471","0497545","yes","yes",68.9420046125727,665.365236544229,1574.60405309081,"btex not detected","ch4 detected"
"884",1037,"754006","Domestic Well","252315","0513946","yes","yes",800.912604470675,939.992241321616,3259.73836674586,"btex not detected","ch4 detected"
"885",1038,"754007","Domestic Well","209840","0427599","yes","yes",127.561749752816,448.837149425443,2451.63618731702,"btex not detected","ch4 detected"
"886",1039,"754008","Domestic Well","76928","9065434","yes","yes",455.882660341452,1482.59690451054,2276.86090605797,"btex not detected","ch4 detected"
"887",1040,"754009","Domestic Well","46265","9064493","yes","yes",414.306649717332,1489.96634835216,2325.0977700953,"btex not detected","ch4 not detected"
"888",1041,"754010","Domestic Well","60458","9064928","yes","yes",275.218095335318,269.589123112219,2027.68430095851,"btex not detected","ch4 not detected"
"889",1042,"754011","Domestic Well","223191","0455007","yes","yes",113.282831885507,1031.38138325482,3729.65819588212,"btex not detected","ch4 not detected"
"890",1043,"754012","Domestic Well","220291","0449119","yes","yes",238.398825500463,475.975886663715,2952.67299804389,"btex not detected","ch4 detected"
