facility_id,facility_type,utm_x83,utm_y83,well_depth,matrix,sample_id,sample_date,btex_above_mcl,benzene_ugl,toluene_ugl,ethylbenzene_ugl,mp_xylenes_ugl,o_xylene_ugl,tot_xylenes_ugl,methane_mgl,ethane_mgl,propane_mgl,butane_mgl,isobutane_mgl,pentane_mgl,hexanes_mgl,sum_btex,sum_alk_2-6,sum_alk_3-6,sum_alk_4-6,detected_btex,detected_ch4,detected_ethane_26,detected_propane_36,detected_butane_46,sampled_for_btex,sampled_for_ch4,sampled_for_alkanes,wattenberg,methane,ethane,propane,delta_13c_c1,fraction,origin,aquifer,notes,more_information,permit_number,receipt_number
700018,Domestic Well,515919,4450104,361,WATER,554401,2016-09-08,FALSE,0,0,0,0,0,0,4.2,0.03,0.0094,0,0,0,0,0,0.0394,0.0094,0,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,41.35,0.13,0.02,-68.41,275.6666666666667,microbial,NA,NA,NA,18396,9062513
700018,Domestic Well,515919,4450104,361,WATER,554405,2016-09-08,FALSE,0,0,0,0,0,0,10,0.07,0.01,0,0,0,0,0,0.08,0.01,0,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,41.35,0.13,0.02,-68.41,275.6666666666667,microbial,NA,NA,NA,18396,9062513
700018,Domestic Well,515919,4450104,361,WATER,555176,2016-11-09,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,39.84,0.15,0.02,-68.3,234.35294117647064,microbial,NA,NA,NA,18396,9062513
700018,Domestic Well,515919,4450104,361,WATER,555176,2016-11-09,FALSE,0,0,0,0,0,0,2.65,0.02,0.0073,0,0,0,0,0,0.0273,0.0073,0,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,39.84,0.15,0.02,-68.3,234.35294117647064,microbial,NA,NA,NA,18396,9062513
700018,Domestic Well,515919,4450104,361,WATER,555180,2016-11-09,FALSE,0,0,0,0,0,0,10,0.08,0.01,0,0,0,0,0,0.09,0.01,0,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,39.84,0.15,0.02,-68.3,234.35294117647064,microbial,NA,NA,NA,18396,9062513
700018,Domestic Well,515919,4450104,361,WATER,556656,2017-03-07,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,40.52,0.15,0.02,-70.06,238.35294117647064,microbial,NA,NA,NA,18396,9062513
700018,Domestic Well,515919,4450104,361,WATER,556656,2017-03-07,FALSE,0,0,0,0,0,0,4.74,0.05,0.01,0,0,0,0,0,0.060000000000000005,0.01,0,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,40.52,0.15,0.02,-70.06,238.35294117647064,microbial,NA,NA,NA,18396,9062513
700018,Domestic Well,515919,4450104,361,WATER,556660,2017-03-07,FALSE,0,0,0,0,0,0,9.5,0.07,0.01,0,0,0,0,0,0.08,0.01,0,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,40.52,0.15,0.02,-70.06,238.35294117647064,microbial,NA,NA,NA,18396,9062513
700018,Domestic Well,515919,4450104,361,WATER,559898,2017-06-20,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,13.02,0.04,0.0077,-68.64,272.9559748427673,microbial,NA,NA,NA,18396,9062513
700018,Domestic Well,515919,4450104,361,WATER,559898,2017-06-20,FALSE,0,0,0,0,0,0,1.64,0.01,0.0042,0,0,0,0,0,0.0142,0.0042,0,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,13.02,0.04,0.0077,-68.64,272.9559748427673,microbial,NA,NA,NA,18396,9062513
700018,Domestic Well,515919,4450104,361,WATER,559902,2017-06-20,FALSE,0,0,0,0,0,0,9.7,0.07,0.01,0,0,0,0,0,0.08,0.01,0,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,13.02,0.04,0.0077,-68.64,272.9559748427673,microbial,NA,NA,NA,18396,9062513
700018,Domestic Well,515919,4450104,361,WATER,561230,2017-09-14,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,39.45,0.11,0.01,-70.1,328.75000000000006,microbial,NA,NA,NA,18396,9062513
700018,Domestic Well,515919,4450104,361,WATER,561230,2017-09-14,FALSE,0,0,0,0,0,0,4.28,0.03,0.0056,0,0,0,0,0,0.0356,0.0056,0,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,39.45,0.11,0.01,-70.1,328.75000000000006,microbial,NA,NA,NA,18396,9062513
700018,Domestic Well,515919,4450104,361,WATER,561234,2017-09-14,FALSE,0,0,0,0,0,0,11,0.06,0.01,0,0,0,0,0,0.06999999999999999,0.01,0,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,39.45,0.11,0.01,-70.1,328.75000000000006,microbial,NA,NA,NA,18396,9062513
